Item_Number,District,Location,Disposition,Signal_Type,Signal_Description,Occurred_Date_Time,Charge_Code,Charge_Description,Offender_Race,Offender_Gender,Offender_Age,Offender_Number,Person_Type,Victim_Race,Victim_Gender,Victim_Age,Victim_Number,Victim_Fatal_Status,Hate_Crime,Report_Type,address,GNOCDC_LAB,pop
L-12475-18,8,X Canal St,OPEN,67F,THEFT BY FRAUD,12/10/2018 6:00,14 70.4,ACCESS DEVICE FRAUD,NA,NA,NA,1,VICTIM,WHITE,MALE,62,1,Non-fatal,NA,Incident Report,"X Canal St., New Orleans, LA",TULANE - GRAVIER,17445
F-20790-18,6,24XX Erato St,OPEN,103D,DISTURBANCE (DOMESTIC),6/17/2018 23:18,NA,NA,NA,NA,NA,NA,INTERVIEW,BLACK,FEMALE,33,2,Non-fatal,NA,Incident Report,"2400 Erato St., New Orleans, LA",CENTRAL CITY,35385
L-20684-18,7,45XX Lafon Dr,OPEN,103D,DISTURBANCE (DOMESTIC),12/16/2018 13:30,NA,NA,NA,NA,NA,NA,REPORTING PERSON,BLACK,FEMALE,35,1,Non-fatal,NA,Incident Report,"4500 Lafon Dr., New Orleans, LA",PLUM ORCHARD,14671
G-22793-18,3,3XX Mouton St,OPEN,62C,SIMPLE BURGLARY (VEHICLE),7/18/2018 19:15,14 62,SIMPLE BURGLARY,BLACK,MALE,16,2,VICTIM,WHITE,MALE,35,1,Non-fatal,NA,Supplemental Report,"300 Mouton St., New Orleans, LA",LAKEVIEW,16938
A-27935-18,1,12XX Columbus St,CLOSED,17F,FUGITIVE ATTACHMENT,1/24/2018 17:43,FUGITIVE ATTACHMENT,WARRANT ISSUED BY,BLACK,MALE,29,1,VICTIM,NA,NA,NA,1,Non-fatal,NA,Incident Report,"1200 Columbus St., New Orleans, LA",SEVENTH WARD,23878
E-11786-18,3,31XX New Orleans St,OPEN,103D,DISTURBANCE (DOMESTIC),5/10/2018 0:48,NA,NA,NA,NA,NA,NA,REPORTING PERSON,HISPANIC,FEMALE,29,1,Non-fatal,NA,Incident Report,"3100 New Orleans St., New Orleans, LA",ST. ROCH,32067
L-17732-18,5,26XX Marais St,OPEN,62,SIMPLE BURGLARY,12/14/2018 8:21,14 62,SIMPLE BURGLARY,UNKNOWN,NA,NA,1,VICTIM,WHITE,MALE,38,1,Non-fatal,NA,Incident Report,"2600 Marais St., New Orleans, LA",ST. CLAUDE,18616
C-04676-18,7,44XX Werner Dr,CLOSED,37,AGGRAVATED ASSAULT,3/4/2018 20:55,NA,NA,BLACK,MALE,45,1,WITNESS,WHITE,MALE,39,2,Non-fatal,NA,Incident Report,"4400 Werner Dr., New Orleans, LA",PLUM ORCHARD,14671
J-31036-18,5,8XX Saint Maurice St,CLOSED,67AR,AUTO THEFT & RECOVERY,10/24/2018 10:00,14 72,FORGERY,BLACK,MALE,51,1,VICTIM,NA,NA,NA,1,Non-fatal,NA,Supplemental Report,"800 Saint Maurice St., New Orleans, LA",HOLY CROSS,12942
L-01482-18,7,49XX Chantilly Dr,OPEN,67AR,AUTO THEFT & RECOVERY,12/2/2018 7:04,14 67.26,THEFT OF A MOTOR VEHICLE,NA,NA,NA,2,VICTIM,NA,NA,NA,1,Non-fatal,NA,Incident Report,"4900 Chantilly Dr., New Orleans, LA",PLUM ORCHARD,14671
